preprocessedSmiles;Molecule ChEMBL ID;y_true_label
O=C(O)CC1CCC(OC2CCN(c3ccc(-c4nc5cc(F)c(F)cc5[nH]4)cn3)CC2)CC1;CHEMBL4592655;0
Cc1ccc2[nH]c(-c3ccc(-c4ccc(OC5CCC(CC(=O)O)CC5)nc4)nc3)nc2n1;CHEMBL4542552;1
CC(=O)Oc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1;CHEMBL2381773;1
CCCCCCCCCC(=O)Oc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1;CHEMBL2381757;1
CCn1nc(-c2cccc(-c3cccc(CC(=O)O)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O;CHEMBL3950249;1
CCCCc1nc2[nH]cnc2c2nc(-c3cccc(Cl)c3)nn12;CHEMBL122667;1
CCCN(CCCNC(=O)COc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1)CCc1cccc2[nH]c(O)cc12;CHEMBL3394255;1
CCNC(=O)C1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(CNC(=O)NCCN4CCCCC4)nc32)C(O)C1O;CHEMBL401914;1
Cn1c(-c2ccco2)nc2c(N)nc(NCCc3ccc(O)cc3)nc21;CHEMBL2381762;0
CCn1c(=O)c2c(nc(C=Cc3ccc(OCCCC(=O)NCCCCCC(=O)OC)c(OC)c3)n2C)n(CC)c1=O;CHEMBL2381768;0
C[S+](O)CCOc1cc(N2CCN(CCn3c(=O)sc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c(F)cc1F;CHEMBL4760867;1
COc1ccccc1CNc1nc(N)c2nc(-c3ccccc3)sc2n1;CHEMBL4127213;1
Nc1nc(NCc2ccncc2)nc2sc(-c3ccco3)nc12;CHEMBL4175676;1
Nc1nc(NCc2cnccn2)nc2sc(-c3ccco3)nc12;CHEMBL4172818;1
Nc1nc(NCc2ccccn2)nc2sc(-c3ccco3)nc12;CHEMBL4167813;1
CCNc1c2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)nn1C;CHEMBL554955;1
COc1cccc(Cn2cc3nc(-c4ccc(C)o4)nc(N)c3n2)c1;CHEMBL3800587;1
CCn1nc(-c2cccc(-c3cccc(C(=O)NCCC4CCCN4C)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O;CHEMBL3918173;1
Nc1nc(NCCc2ccccc2)nc2sc(-c3ccco3)nc12;CHEMBL3935610;1
Nc1nc(NCc2cccc(O)c2)nc2sc(-c3ccco3)nc12;CHEMBL3932413;1
Nc1nc(NCc2cccs2)nc2sc(-c3ccccc3)nc12;CHEMBL4125975;1
COCCN(C)c1cccc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)n1;CHEMBL485972;1
COC(=O)Nc1cc(-c2cncc(OC)c2)nc(-n2nc(C)cc2C)n1;CHEMBL519549;1
Cc1ccc(-c2nc(N)nc3c2ncc(=O)n3CCN2CCN(c3ccccc3C(F)(F)F)CC2)o1;CHEMBL5084124;1
O=C(NCCN1CCCCC1)c1nc(NCC(c2ccccc2)c2ccccc2)c2ncn(C3OC(CO)C(O)C3O)c2n1;CHEMBL256467;1
CCOC(=O)CCCOc1ccc(CCNc2nc(N)c3nc(-n4nccn4)n(C)c3n2)cc1;CHEMBL2381758;0
Nc1nc(N2CCN(c3ccccc3)CC2)nc2sc(-c3ccco3)nc12;CHEMBL5188037;1
Nc1nc(NC2CCN(C3CCCN(Cc4ccccc4)C3)CC2)nc2sc(-c3ccco3)nc12;CHEMBL5185537;1
COCC1CCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1;CHEMBL458224;1
Cc1ccc(-c2nc(N)nc3c2ncc(=O)n3Cc2ccccc2)o1;CHEMBL5091384;1
